date,volume,open,high,low,close
2015/6/2,18900690,79.76,81.35,79.56,80.445
2015/6/1,18106110,79.3,80.38,78.66,80.29
2015/5/29,16111570,79.95,80.07,78.88,79.19
2015/5/28,11974610,80.25,81.0745,80,80.145
2015/5/27,14132160,79.6,80.66,79.43,80.55
2015/5/26,16271510,80.43,80.6,79.08,79.335
2015/5/22,19547070,80.35,81.31,80.25,80.54
2015/5/21,13376150,80.19,80.92,80.08,80.48
2015/5/20,23024330,80.47,81.1,79.46,80.55
2015/5/19,17943450,81.25,81.69,80.55,80.63
2015/5/18,21560230,80.33,81.38,80.23,80.88
2015/5/15,27029540,81.41,81.52,80.18,80.42
2015/5/14,49376110,78.94,81.845,78.67,81.37
2015/5/13,21485710,77.72,78.53,77.65,78.44
2015/5/12,21249920,77.87,77.89,76.79,77.46
2015/5/11,18826100,78.48,79.03,77.93,78.01
2015/5/8,19921440,79.1,79.23,78.03,78.51
2015/5/7,19727740,78,78.94,77.56,78.425
2015/5/6,28610160,77.97,78.81,77.05,78.1
2015/5/5,22243130,78.55,78.8,77.22,77.56
2015/5/4,14664320,79.33,79.69,78.6301,78.81
2015/5/1,22811310,79.24,79.76,78.11,78.99
2015/4/30,28924470,80.01,80.96,78.32,78.77
2015/4/29,26400340,80.01,81.39,79.52,80.465
2015/4/28,23724520,81.83,81.9,80.23,80.68
2015/4/27,25401050,81.87,82.93,81.63,81.91
2015/4/24,29617390,82.77,82.94,81.48,81.53
2015/4/23,73607220,84.1,85.59,82.41,82.41
2015/4/22,43286780,84.32,84.74,83.65,84.63
2015/4/21,26824310,84,84.49,83.54,83.62
2015/4/20,28700450,81.54,83.15,81.24,83.09
2015/4/17,24156000,81.48,82.11,80.37,80.775
2015/4/16,13678800,82.47,83.07,82.15,82.31
2015/4/15,22358670,83.55,83.66,82.27,82.705
2015/4/14,19612620,83.17,83.69,82.44,83.515
2015/4/13,26868830,81.93,83.94,81.92,83.01
2015/4/10,12501090,82.21,82.61,81.91,82.04
2015/4/9,15902970,82.5,82.8,81.71,82.17
2015/4/8,18936170,82.63,83.1,81.84,82.275
2015/4/7,17442950,82.65,83.42,82.22,82.32
2015/4/6,19008980,80.8,82.81,80.8,82.44
2015/4/2,19631440,82.25,82.56,81.44,81.555
2015/4/1,22028080,82.5,82.72,80.87,81.665
2015/3/31,19705200,82.9,83.5,82.21,82.215
2015/3/30,24506180,83.81,84.34,82.41,83.195
2015/3/27,18313110,83.38,83.95,82.88,83.3
2015/3/26,32754510,82.72,83.77,82.14,83.01
2015/3/25,37348640,85.5,85.52,82.92,82.92
2015/3/24,32507390,84.71,86.0699,84.52,85.31
2015/3/23,27291310,83.92,84.96,83.3,84.43
2015/3/20,44405260,83.39,84.6,83.07,83.8
2015/3/19,42047570,81.12,83,81,82.75
2015/3/18,36732660,79.25,81.24,79.17,80.91
2015/3/17,22105760,78.36,79.78,78.34,79.365
2015/3/16,19289450,77.96,78.12,77.36,78.07
2015/3/13,18481750,78.6,79.38,77.68,78.05
2015/3/12,16069270,78.1,79.05,77.91,78.93
2015/3/11,20141490,77.8,78.43,77.26,77.57
2015/3/10,22965310,78.5,79.26,77.55,77.55
2015/3/9,18908230,79.68,79.91,78.63,79.44
2015/3/6,24457940,80.9,81.33,79.83,80.005
2015/3/5,27792840,81.23,81.99,81.05,81.21
2015/3/4,28057010,79.3,81.15,78.85,80.895
2015/3/3,18602170,79.61,79.7,78.52,79.6
2015/3/2,21645890,79,79.855,78.52,79.75
2015/2/27,30705140,80.68,81.23,78.62,78.97
2015/2/26,30980750,79.88,81.37,79.72,80.41
2015/2/25,25546020,78.5,80.2,78.5,79.56
2015/2/24,18871220,78.5,79.48,78.1,78.45
2015/2/23,24105020,79.96,80.19,78.38,78.84
2015/2/20,36904680,79.55,80.34,79.2,79.895
2015/2/19,45778750,76.986,79.84,76.95,79.42
2015/2/18,22410540,75.94,76.9,75.45,76.71
2015/2/17,25243920,75.3,76.91,75.08,75.6
2015/2/13,18487260,76.46,76.48,75.5,75.74
2015/2/12,17212100,76.86,76.87,75.89,76.23
2015/2/11,20817690,75.09,76.75,75.03,76.51
2015/2/10,15783750,74.85,75.34,74.5,75.19
2015/2/9,16182700,74.05,74.83,73.45,74.44
2015/2/6,21131450,75.68,75.7,74.25,74.47
2015/2/5,15002820,75.71,75.98,75.21,75.615
2015/2/4,20246640,75.09,76.35,75.01,75.63
2015/2/3,26921640,75.19,75.58,73.86,75.4
2015/2/2,41901530,76.11,76.14,73.75,74.99
2015/1/30,42540890,78,78.16,75.75,75.91
2015/1/29,60670160,76.85,78.02,74.21,78
2015/1/28,51281680,76.9,77.638,76,76.24
2015/1/27,19982990,76.71,76.88,75.63,75.78
2015/1/26,19229120,77.98,78.47,77.29,77.495
2015/1/23,16711610,77.65,78.19,77.04,77.83
2015/1/22,19491720,77.17,77.75,76.68,77.65
2015/1/21,25079200,76.16,77.3,75.85,76.74
2015/1/20,22765930,75.72,76.31,74.82,76.24
2015/1/16,21744680,74.04,75.32,73.84,75.18
2015/1/15,34058150,76.4,76.57,73.54,74.05
2015/1/14,25831690,76.42,77.2,76.0291,76.28
2015/1/13,25149270,77.23,78.08,75.85,76.45
2015/1/12,19150390,77.84,78,76.21,76.72
2015/1/9,21146060,78.2,78.62,77.2,77.74
2015/1/8,23931830,76.74,78.23,76.08,78.175
2015/1/7,22015250,76.76,77.36,75.82,76.15
2015/1/6,27365180,77.23,77.59,75.365,76.15
2015/1/5,26392340,77.98,79.2455,76.86,77.19
2015/1/2,18141830,78.58,78.93,77.7,78.45
2014/12/31,20004710,79.54,79.8,77.86,78.02
2014/12/30,14354170,79.85,80.59,79.1,79.22
2014/12/29,14101570,80.49,80.96,79.71,80.02
2014/12/26,10632810,81.02,81.28,80.51,80.775
2014/12/24,7685481,81.03,81.43,80.75,80.77
2014/12/23,19846990,82.02,82.17,80.4,80.61
2014/12/22,31361040,80.08,81.89,80,81.45
2014/12/19,43274930,78.75,80,78.33,79.88
2014/12/18,34147520,76.89,78.4,76.51,78.4
2014/12/17,29142380,75.01,76.41,74.9,76.11
2014/12/16,31466710,76.19,77.39,74.59,74.69
2014/12/15,29341660,78.46,78.58,76.56,76.99
2014/12/12,28049760,77.16,78.88,77.02,77.83
2014/12/11,33465080,76.52,78.52,76.48,77.73
2014/12/10,32168400,76.65,77.55,76.07,76.18
2014/12/9,25307530,75.2,76.93,74.78,76.84
2014/12/8,25674150,76.18,77.25,75.4,76.52
2014/12/5,24273070,75.8,76.76,75.36,76.36
2014/12/4,14369110,74.83,75.55,74.66,75.24
2014/12/3,15936750,75.38,75.73,74.4,74.88
2014/12/2,16750770,75.33,75.91,75.04,75.46
2014/12/1,31747970,77.26,77.31,74.8,75.1
2014/11/28,15992040,77.67,78.27,77.23,77.7
2014/11/26,32686400,75.53,77.78,75.51,77.62
2014/11/25,32199750,74.21,75.74,74.13,75.63
2014/11/24,22080500,73.54,74.35,73.35,74.01
2014/11/21,23039660,74.5,74.5,73.5,73.75
2014/11/20,19128520,72.8,73.99,72.51,73.6
2014/11/19,25401630,74.01,74.54,73.11,73.33
2014/11/18,20678330,74.45,74.8,73.9,74.34
2014/11/17,28669580,74.88,75.655,73.88,74.24
2014/11/14,19416910,74.27,74.93,74.04,74.88
2014/11/13,26408940,74.74,75.24,73.64,74.25
2014/11/12,26497580,74.28,75.14,73.54,74.72
2014/11/11,18702040,74.95,74.98,74.03,74.61
2014/11/10,21526460,75.36,75.4799,74.61,75
2014/11/7,20757430,75.39,75.855,75.02,75.6
2014/11/6,21321380,74.89,75.6,74.31,75.26
2014/11/5,35853620,76.51,76.8,74.42,74.83
2014/11/4,39202820,74.23,75.77,73.65,75.76
2014/11/3,40529830,75.47,75.52,73.7,73.88
2014/10/31,44472280,74.93,75.7,74.45,74.99
2014/10/30,83098240,75.05,75.35,72.9,74.11
2014/10/29,105883000,75.45,76.88,74.78,75.86
2014/10/28,61137040,80.18,81.16,79.57,80.77
2014/10/27,29806870,80.74,80.8,79.76,80.28
2014/10/24,32123520,80.2,80.8183,79.32,80.67
2014/10/23,34892410,79.38,80.63,79.01,80.04
2014/10/22,41799140,78.815,79.85,78.01,78.37
2014/10/21,32176370,77.56,78.74,77.15,78.69
2014/10/20,34555900,75.6,77.09,75.38,76.95
2014/10/17,76263220,74.23,76,73.75,75.95
2014/10/16,53456880,70.79,73.35,70.58,72.63
2014/10/15,61397390,71.69,73.8,70.32,73.21
2014/10/14,50126990,74,74.18,72.05,73.59
2014/10/13,43847640,73.23,74.78,72.52,72.99
2014/10/10,52068580,75.59,76.5,72.76,72.91
2014/10/9,32421030,77.28,77.7601,75.85,75.91
2014/10/8,32853310,76.18,77.71,75.1,77.52
2014/10/7,25241360,77.05,77.95,76.24,76.29
2014/10/6,25689890,77.19,77.89,76.85,77.555
2014/10/3,23280910,77.76,78.06,77.26,77.44
2014/10/2,36468900,76.57,77.48,75.64,77.08
2014/10/1,55006570,78.78,78.82,75.9,76.55
